Name,Link,Categories,Pricing,Platforms,Tags,Desciption
Elgato Screen Link,https://www.elgato.com/en/gaming/screen-link,"Screen Record, Stream","Free, Subscription",iOS,,Capture iPhone and iPad. Wirelessly.
Windows 10 Game Bar,https://support.xbox.com/en-US/xbox-on-windows/social/use-game-bar-on-windows-10,"Screen Record, Stream",Free,Windows,,Windows 10 Feature (Shortcut: Win+G)
XSplit Broadcaster,https://www.xsplit.com/broadcaster,"Screen Record, Stream, Stream Enhancer, Video Editor","Free, Subscription, Paid",Windows,,"More than just a screen recorder, XSplit Broadcaster is the best live streaming software on the market for the serious content creator. Download for FREE."
FFmpeg,https://ffmpeg.org/,"Video Editor, Video Converter, Audio Converter",Free,"Windows, Mac, Linux",,"The leading multimedia framework, able to decode, encode, transcode, mux, demux, stream, filter and play pretty much anything"
Handbrake,https://handbrake.fr/,Video Converter,Free,"Windows, Mac, Linux",,"HandBrake is an open-source, GPL-licensed, multiplatform, multithreaded video transcoder."
MPEG Streamclip,http://www.squared5.com/svideo/mpeg-streamclip-win.html,Video Converter,Free,"Windows, Mac",,"MPEG Streamclip is a powerful high-quality video converter, player, editor for MPEG, QuickTime, transport streams, iPod. And now it is a DivX editor and encoding machine, and even a movie downloader. "
Freemake,https://www.freemake.com/,"Video Editor, Video Converter, Audio Converter",Free,"Windows, Mac",,"Freemake provides quality freeware - Free Video Converter, Free Video Downloader, Free Audio Converter. Download and convert any video or audio free and in two clicks!"
VirtualDub,http://www.virtualdub.org/,"Video Editor, Video Converter",Free,Windows,,"VirtualDub is a video capture/processing utility.  It lacks the editing power of a general-purpose editor such as Adobe Premiere, but is streamlined for fast linear operations over video."
YouTube,https://www.youtube.com/,"Video Hosting, Stream Hosting",Free,Web,,YouTube is the largest video hosting and streaming platform.
Twitch,https://www.twitch.tv/,"Video Hosting, Stream Hosting",Free,Web,,Twitch is the world's leading video platform and community for gamers.
Facebook Gaming,https://www.facebook.com/gaming/?external_ref=games_video_bookmark,"Video Hosting, Stream Hosting",Free,Web,,Watch live video game streams from popular creators on Facebook. Join a community of players and streamers.
Steam Broadcast,https://steamcommunity.com/updates/broadcasting,"Video Hosting, Stream Hosting",Free,Web,,"Steam Broadcasting: Watch friends play, with the click of a button."
Vimeo,https://vimeo.com/,Video Hosting,"Trial, Subscription",Web,,"Join the world's leading professional video platform and grow your business with easy-to-use, high-quality video creation, hosting, and marketing tools."
Restream,https://restream.io/,Multistreaming,"Free, Subscription",Web,,"Restream is the #1 multistreaming solution. Stream live to YouTube, Twitch, Facebook, and 30+ platforms at once. Get started today."
Mobcrush,https://www.mobcrush.com/,Multistreaming,"Free, Subscription",Web,,"Mobcrush lets you multistream and chat to YouTube, Twitch, and Facebook."
